
Stock	Country	Year	CatchCategory	ReportingCategory	CATONRaisedOrImported	MisreportedArea	Area	Season	SeasonType	Fleet	CATON	Effort	UnitEffort	OfficialLandings	SampledOrEstimated	Sex	AgeOrLength	AgeOrLengthType	CANUM	WECA	LECA	SampledCatch	No. of Length Samples	No. of Length Measured	No. of Age Samples	No. Age Readings
											in kg			in kg											in numbers	in numbers	in numbers	in numbers

meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	1	Age	18.19	32.72		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	2	Age	114.47	113.41		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	3	Age	160.03	146.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	4	Age	101.27	187.50		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	5	Age	112.87	222.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	6	Age	47.72	271.52		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	7	Age	26.67	333.20		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	8	Age	13.23	426.34		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	9	Age	3.16	592.21		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	10	Age	1.86	614.65		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	11	Age	0.73	757.06		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	12	Age	0.42	871.88		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	13	Age	0.22	847.97		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	110.00	289	kWd	0	Estimated_Distribution	Undetermined	14	Age	0.10	879.53		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	1	Age	3.97	32.72		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	2	Age	24.97	113.41		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	3	Age	34.92	146.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	4	Age	22.10	187.50		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	5	Age	24.63	222.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	6	Age	10.41	271.52		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	7	Age	5.82	333.20		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	8	Age	2.89	426.34		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	9	Age	0.69	592.21		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	10	Age	0.40	614.65		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	11	Age	0.16	757.06		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	12	Age	0.09	871.88		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	13	Age	0.05	847.97		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	24.43	289	kWd		Estimated_Distribution	Undetermined	14	Age	0.02	879.53		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	1	Age	330.14	32.72		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	2	Age	2077.04	113.41		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	3	Age	2903.81	146.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	4	Age	1837.58	187.50		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	5	Age	2048.05	222.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	6	Age	865.99	271.52		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	7	Age	484.00	333.20		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	8	Age	239.99	426.34		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	9	Age	57.36	592.21		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	10	Age	33.66	614.65		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	11	Age	13.18	757.06		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	12	Age	7.68	871.88		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	13	Age	3.95	847.97		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Discards	Reported	Raised_Discards	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	1996.68	15748	kWd		Estimated_Distribution	Undetermined	14	Age	1.80	879.53		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	1	Age	1486.79	32.72		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	2	Age	9353.98	113.41		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	3	Age	13077.34	146.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	4	Age	8275.53	187.50		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	5	Age	9223.42	222.26		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	6	Age	3899.98	271.52		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	7	Age	2179.69	333.20		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	8	Age	1080.78	426.34		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	9	Age	258.31	592.21		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	10	Age	151.60	614.65		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	11	Age	59.38	757.06		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	12	Age	34.57	871.88		0	0	0	0	0
meg.27.7b-k8abd	Belgium	2023	Landings	Reported	Imported_Data	 	27.7.g	1	Quarter	OTB_DEF_>=120_0_0_all	8989.00	15748	kWd	9000	Estimated_Distribution	Undetermined	13	Age	17.79	847.97		0	0	0	0	0
