Stock	Country	Year	CatchCategory	ReportingCategory	CATONRaisedOrImported	MisreportedArea	Area	Season	SeasonType	Fleet	CATON	Effort	UnitEffort	OfficialLandings	SampledOrEstimated	Sex	AgeOrLength	AgeOrLengthType	CANUM	WECA	LECA	SampledCatch	No. of Length Samples	No. of Length Measured	No. of Age Samples	No. Age Readings
											in kg			in kg											in numbers	in numbers	in numbers	in numbers

meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	1	Age	43.38	91.87	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	2	Age	1126.28	112.48	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	3	Age	1404.99	148.91	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	4	Age	811.63	178.34	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	5	Age	592.76	222.22	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	6	Age	497.76	256.90	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	7	Age	214.61	312.82	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	8	Age	98.02	425.69	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	9	Age	41.79	531.35	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	10	Age	10.69	654.11	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	11	Age	8.50	657.24	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	12	Age	1.97	829.52	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	13	Age	0.59	847.21	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	846.00	1854	kWd	1000	Estimated_Distribution	Undetermined	14	Age	0.36	875.13	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	1	Age	10.05	91.87	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	2	Age	260.94	112.48	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	3	Age	325.51	148.91	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	4	Age	188.04	178.34	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	5	Age	137.33	222.22	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	6	Age	115.32	256.90	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	7	Age	49.72	312.82	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	8	Age	22.71	425.69	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	9	Age	9.68	531.35	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	10	Age	2.48	654.11	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	11	Age	1.97	657.24	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	12	Age	0.46	829.52	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	13	Age	0.14	847.21	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.e	1	Quarter	OTB_DEF_>=120_0_0_all	196.15	1854	kWd		Estimated_Distribution	Undetermined	14	Age	0.08	875.13	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	1	Age	20.92	91.87	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	2	Age	543.17	112.48	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	3	Age	677.58	148.91	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	4	Age	391.42	178.34	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	5	Age	285.87	222.22	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	6	Age	240.06	256.90	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	7	Age	103.50	312.82	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	8	Age	47.27	425.69	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	9	Age	20.15	531.35	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	10	Age	5.16	654.11	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	11	Age	4.10	657.24	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	12	Age	0.95	829.52	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	13	Age	0.28	847.21	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Discards	Reported	Raised_Discards	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	408.53	3129	kWd		Estimated_Distribution	Undetermined	14	Age	0.17	875.13	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	1	Age	90.34	91.87	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	2	Age	2345.76	112.48	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	3	Age	2926.23	148.91	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	4	Age	1690.42	178.34	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	5	Age	1234.57	222.22	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	6	Age	1036.71	256.90	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	7	Age	446.97	312.82	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	8	Age	204.14	425.69	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	9	Age	87.04	531.35	-9.00	0	0	0	0	0
meg.27.7b-k8abd	Belgium	2024	Landings	Reported	Imported_Data	 	27.7.f	1	Quarter	OTB_DEF_>=120_0_0_all	1762.00	3129	kWd	2000	Estimated_Distribution	Undetermined	10	Age	22.26	654.11	-9.00	0	0	0	0	0
