Stock	Country	Year	CatchCategory	ReportingCategory	CATONRaisedOrImported	Area	Season	SeasonType	Fleet	CATON	Effort	UnitEffort	SampledOrEstimated	Age	CANUM	WECA
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	1	10.5	35.93
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	2	91.28	98.72
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	3	298.45	141.93
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	4	264.05	178.47
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	5	100.96	210.4
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	6	76.5	261.9
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	7	33.85	360.91
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	8	15.48	396.26
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	9	6.66	530.7
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	10	2.31	645.42
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	11	1.04	759.77
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	12	0.6	670.08
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	13	0.05	796.51
meg.27.7b-k8abd	Belgium	2025	Landings	Reported	Imported_Data	27.7.e	1	Quarter	OTB_DEF_100-119_0_0_all	159	472	kWd	Estimated_Distribution	14	0.05	1085.51
