Year;1;2;3;4;5;6;7;8;9;10
2003;41.8;62;57.7;60.1;23.1;11.2;6.5;2.8;1.7;0.9
2004;34.6;80.9;72.7;51.4;26.5;12.2;6.2;3.3;1.3;1.2
2005;45.5;88.1;69.9;43.3;30;18.4;5.7;2.9;3.1;3
2006;65.9;96.2;75.6;47.5;26.1;13.5;6.2;4.9;1.3;1
2007;53.7;74.4;35.9;33.5;33.1;11;6.6;4.2;2.2;1.6
2008;29.4;129.7;76.4;37.6;17.3;9.2;4;2.3;0.7;1.2
2009;16.8;70;128.4;65.3;40.4;20.3;8.1;5.4;2.4;3.5
2010;29.1;44.2;73.9;70.3;38.1;20.5;7.7;3.8;2.2;1.4
2011;0.3;78.3;93.3;70.8;37.4;19.9;8;3.2;2.5;6.2
2012;19.8;71.9;101.5;35;23.4;12;8.2;2.2;2.3;4.8
2013;17.1;63.8;60;54.3;12.8;8.2;5;1.7;2.1;4.6
2014;14.8;83.4;39.5;56;21.2;9;4.3;3.5;1.6;2.6
2015;42.9;48;77.6;38.7;25.5;13.1;4.9;1.6;2;5.2
2016;42.2;95;56.7;43.5;33.8;21.2;7.8;7.1;2.7;7
2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;75.4;126.9;93.2;62.1;27.3;17;5.6;3;1.5;5.4
2019;58.7;171;131.1;67.1;25.8;10.5;6.6;2.6;1.7;4.7
2020;53.9;164;128.5;71.1;44;20.7;6.3;4.5;2.3;3.6
2021;48.7;122.4;114.9;75.7;60.4;27.8;15.7;5.4;3;3.4
2022;59.9;153.7;108.3;75.2;29.4;16;4.9;3.5;2.4;8.6
2023;22.7;82.6;135.8;111.3;59.3;23.6;10.9;2.5;1.1;3
