"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","AreaType","AreaCode","LngtCode","LngtClass","Sex","Maturity","PlusGr","Age","CANoAtLngt","IndWgt","FishID","GenSamp","StomSamp","AgeSource","AgePrepMet","OtGrading","ParSamp","MaturityScale","DateofCalculation","Valid_Aphia","LngtClassCm"
"1","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0891",70,2014,"W",127146,0,"24E5",".",170,"F",NA,NA,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,17
"2","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0891",70,2014,"W",127146,0,"24E5",".",180,"M",NA,NA,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,18
"3","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0891",70,2014,"W",127146,0,"24E5",".",250,"F",NA,NA,2,1,118,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,25
"4","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0891",70,2014,"W",127146,0,"24E5",".",380,"F",NA,NA,5,1,494,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,38
"5","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0877",57,2014,"W",127146,0,"23E6",".",240,"F",NA,NA,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,24
"6","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0887",66,2014,"W",127146,0,"23E6",".",160,"M",NA,NA,1,1,29,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,16
"7","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0887",66,2014,"W",127146,0,"23E6",".",220,"F",NA,NA,2,1,68,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,22
"8","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0887",66,2014,"W",127146,0,"23E6",".",240,"F",NA,NA,2,1,81,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,24
"9","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0887",66,2014,"W",127146,0,"23E6",".",240,"F",NA,NA,2,1,89,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,24
"10","CA","EVHOE",4,"FR","35HT","GOV",50,"D",NA,"S0851",32,2014,"W",127146,0,"16E8",".",400,"F",NA,NA,4,1,555,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,40
"11","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0890",69,2014,"W",127146,0,"23E5",".",310,"M",NA,NA,4,1,250,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,31
"12","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0890",69,2014,"W",127146,0,"23E5",".",390,"F",NA,NA,5,1,505,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,39
"13","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0897",76,2014,"W",127146,0,"23E4",".",300,"M",NA,NA,4,1,198,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,30
"14","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0897",76,2014,"W",127146,0,"23E4",".",340,"M",NA,NA,5,1,263,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,34
"15","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0897",76,2014,"W",127146,0,"23E4",".",360,"M",NA,NA,5,1,356,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,36
"16","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0898",77,2014,"W",127146,0,"23E4",".",200,"M",NA,NA,2,1,62,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,20
"17","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0898",77,2014,"W",127146,0,"23E4",".",230,"F",NA,NA,2,1,72,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,23
"18","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0898",77,2014,"W",127146,0,"23E4",".",250,"M",NA,NA,2,1,96,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,25
"19","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0898",77,2014,"W",127146,0,"23E4",".",280,"M",NA,NA,3,1,170,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,28
